hash    	name                                                        	batch                         	cracked   	status   	pr
78c749ab	VfxColorRgbConstantDriver                                   	vfx-driver-graph              	2026-07-28	pending  	-
e168ec0e	VfxColorRgbaDriver                                          	vfx-driver-graph              	2026-07-28	pending  	-
6f4e4a08	VfxDriverContainer                                          	vfx-driver-graph              	2026-07-28	pending  	-
0eeaaebe	VfxEmissionCylinder                                         	vfx-driver-graph              	2026-07-28	pending  	-
d965d435	VfxEmissionMesh                                             	vfx-driver-graph              	2026-07-28	pending  	-
cd5a34f5	VfxEmissionMeshData                                         	vfx-driver-graph              	2026-07-28	pending  	-
56abfbd6	VfxEmissionPoint                                            	vfx-driver-graph              	2026-07-28	pending  	-
dbd91337	VfxEmissionSkeleton                                         	vfx-driver-graph              	2026-07-28	pending  	-
3df230bf	VfxEmissionSkeletonData                                     	vfx-driver-graph              	2026-07-28	pending  	-
5507b309	VfxEmissionSkin                                             	vfx-driver-graph              	2026-07-28	pending  	-
72a4bae5	VfxEmissionSphere                                           	vfx-driver-graph              	2026-07-28	pending  	-
fddb75c6	VfxEmitterVelocityDriver                                    	vfx-driver-graph              	2026-07-28	pending  	-
a0660647	VfxFacingModeCameraAligned                                  	vfx-driver-graph              	2026-07-28	pending  	-
91575b97	VfxFacingModeCameraFacing                                   	vfx-driver-graph              	2026-07-28	pending  	-
6a3a14b5	VfxFacingModeViewAligned                                    	vfx-driver-graph              	2026-07-28	pending  	-
ceeafc35	VfxFloatConstantDriver                                      	vfx-driver-graph              	2026-07-28	pending  	-
afe1d569	VfxFloatDynamicProperty                                     	vfx-driver-graph              	2026-07-28	pending  	-
ed986974	VfxFloatEasingDriver                                        	vfx-driver-graph              	2026-07-28	pending  	-
16d4ef9e	VfxFloatFromVector4Driver                                   	vfx-driver-graph              	2026-07-28	pending  	-
fb99008c	VfxFloatLerpDriver                                          	vfx-driver-graph              	2026-07-28	pending  	-
759b8cc5	VfxFloatLogicDriver                                         	vfx-driver-graph              	2026-07-28	pending  	-
ae0ba078	VfxFloatSineDriver                                          	vfx-driver-graph              	2026-07-28	pending  	-
9742cedc	VfxFloatTimeDriver                                          	vfx-driver-graph              	2026-07-28	pending  	-
2335a083	VfxLaserDefinitionData                                      	vfx-driver-graph              	2026-07-28	pending  	-
614f2da4	VfxLengthVector2Driver                                      	vfx-driver-graph              	2026-07-28	pending  	-
159d4bb7	VfxLengthVector3Driver                                      	vfx-driver-graph              	2026-07-28	pending  	-
e00db001	VfxMaxFloatDriver                                           	vfx-driver-graph              	2026-07-28	pending  	-
977663bc	VfxMaxVector2Driver                                         	vfx-driver-graph              	2026-07-28	pending  	-
d70daa4f	VfxMaxVector3Driver                                         	vfx-driver-graph              	2026-07-28	pending  	-
18b2682e	VfxMaxVector4Driver                                         	vfx-driver-graph              	2026-07-28	pending  	-
f5c05b93	VfxMinFloatDriver                                           	vfx-driver-graph              	2026-07-28	pending  	-
78f89502	VfxMinVector2Driver                                         	vfx-driver-graph              	2026-07-28	pending  	-
4a310da5	VfxMinVector3Driver                                         	vfx-driver-graph              	2026-07-28	pending  	-
2ec48688	VfxMinVector4Driver                                         	vfx-driver-graph              	2026-07-28	pending  	-
345362e9	VfxMultiplyFloatDriver                                      	vfx-driver-graph              	2026-07-28	pending  	-
6cd36214	VfxMultiplyVector2Driver                                    	vfx-driver-graph              	2026-07-28	pending  	-
06ff7de7	VfxMultiplyVector3Driver                                    	vfx-driver-graph              	2026-07-28	pending  	-
1f3f99e6	VfxMultiplyVector4Driver                                    	vfx-driver-graph              	2026-07-28	pending  	-
67b5bbcb	VfxNormalizeVector2Driver                                   	vfx-driver-graph              	2026-07-28	pending  	-
1c1ae0c8	VfxNormalizeVector3Driver                                   	vfx-driver-graph              	2026-07-28	pending  	-
fddcab18	VfxPhysicsAttractionDefinitionData                          	vfx-driver-graph              	2026-07-28	pending  	-
73c4f0b3	VfxPhysicsDragModifier                                      	vfx-driver-graph              	2026-07-28	pending  	-
81d6c80f	VfxPhysicsNoiseDefinitionData                               	vfx-driver-graph              	2026-07-28	pending  	-
56ca09bd	VfxPhysicsOrbitModifier                                     	vfx-driver-graph              	2026-07-28	pending  	-
83dea686	VfxPhysicsPositionModifier                                  	vfx-driver-graph              	2026-07-28	pending  	-
dd8c1257	VfxPhysicsRotationModifier                                  	vfx-driver-graph              	2026-07-28	pending  	-
0edbe61b	VfxPhysicsScaleModifier                                     	vfx-driver-graph              	2026-07-28	pending  	-
6a46c993	VfxPhysicsSimpleModifier                                    	vfx-driver-graph              	2026-07-28	pending  	-
9e7a207e	VfxPhysicsVelocityModifier                                  	vfx-driver-graph              	2026-07-28	pending  	-
b86f4f7f	VfxPrimitiveLaser                                           	vfx-driver-graph              	2026-07-28	pending  	-
a38a798c	VfxPrimitiveRibbon                                          	vfx-driver-graph              	2026-07-28	pending  	-
f67d2b9a	VfxPropertyFloatDriver                                      	vfx-driver-graph              	2026-07-28	pending  	-
ef7ad77c	VfxPropertyVector3Driver                                    	vfx-driver-graph              	2026-07-28	pending  	-
