hash    	name                                                        	batch                         	cracked   	status   	pr
11ca9f3d	ConnectedNodes                                              	pre-ledger-backlog            	2026-07-20	pending  	-
6152a19f	ContentTypeIcon                                             	pre-ledger-backlog            	2026-07-20	pending  	-
137bf219	ContentTypeText                                             	pre-ledger-backlog            	2026-07-20	pending  	-
f34f5793	ContinueText                                                	pre-ledger-backlog            	2026-07-20	pending  	-
89ba4a26	ControlSet                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
65cd1e65	ControlVector2                                              	pre-ledger-backlog            	2026-07-20	pending  	-
642004df	CooldownMessage                                             	pre-ledger-backlog            	2026-07-20	pending  	-
ea13124a	CooldownStatus                                              	pre-ledger-backlog            	2026-07-20	pending  	-
f31321aa	CosmeticDuration                                            	pre-ledger-backlog            	2026-07-20	pending  	-
eaefb0c9	CostIcon                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
70fa4e8c	CraftIcon                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
d58eab1d	CrestUp                                                     	pre-ledger-backlog            	2026-07-20	pending  	-
5e2da6e3	CurrencyIcon                                                	pre-ledger-backlog            	2026-07-20	pending  	-
d0596065	CurrencyText                                                	pre-ledger-backlog            	2026-07-20	pending  	-
1475bab7	CurrencyValue                                               	pre-ledger-backlog            	2026-07-20	pending  	-
e25f9f09	CurrentCamera                                               	pre-ledger-backlog            	2026-07-20	pending  	-
a413accd	CurrentGroup                                                	pre-ledger-backlog            	2026-07-20	pending  	-
0a93f677	CurrentIcon                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
996a8f3f	CurrentLevelText                                            	pre-ledger-backlog            	2026-07-20	pending  	-
a09e1bbf	CurrentPip                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
e23ce27f	CurrentSeason                                               	pre-ledger-backlog            	2026-07-20	pending  	-
69b0a839	CustomDropRate                                              	pre-ledger-backlog            	2026-07-20	pending  	-
629094b5	CustomTooltip                                               	pre-ledger-backlog            	2026-07-20	pending  	-
c70f6a1e	DailyLoginViewController                                    	pre-ledger-backlog            	2026-07-20	pending  	-
3c0023cb	DamageOvertime                                              	pre-ledger-backlog            	2026-07-20	pending  	-
0ea3d3f5	DamagePrediction                                            	pre-ledger-backlog            	2026-07-20	pending  	-
137cf12a	DataValue                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
9ad0961e	Dates                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
e44f21fd	Day                                                         	pre-ledger-backlog            	2026-07-20	pending  	-
f9e90ffe	DeadMaterial                                                	pre-ledger-backlog            	2026-07-20	pending  	-
